X,Y
3.38,0.01,,
3.42,0.02,,
3.42,0.05,,
3.46,0.08,,
3.50,0.10,,
4.53,0.11,,
5.08,0.11,,
5.59,0.14,,
6.30,0.15,,
6.85,0.16,,
7.44,0.17,,
7.68,0.20,,
7.76,0.23,,
8.00,0.27,,
8.00,0.30,,
8.11,0.35,,
8.19,0.37,,
8.27,0.39,,
8.63,0.41,,
8.51,0.42,,
8.39,0.44,,
8.51,0.47,,
8.90,0.49,,
8.86,0.51,,
8.98,0.52,,
9.69,0.54,,
9.81,0.56,,
10.20,0.55,,
10.87,0.55,,
11.43,0.56,,
11.94,0.58,,
12.37,0.58,,
13.12,0.57,,
13.63,0.58,,
14.26,0.57,,
14.66,0.57,,
15.25,0.55,,
15.72,0.54,,
16.59,0.53,,
17.06,0.51,,
17.38,0.52,,
17.69,0.49,,
18.36,0.49,,
18.92,0.47,,
19.55,0.47,,
20.14,0.44,,
20.73,0.44,,
21.32,0.42,,
21.87,0.42,,
22.50,0.41,,
23.21,0.41,,
23.73,0.39,,
24.20,0.38,,
24.67,0.37,,
25.26,0.42,,
25.66,0.39,,
25.93,0.37,,
26.60,0.38,,
26.72,0.35,,
27.16,0.35,,
27.71,0.34,,
28.26,0.33,,
28.73,0.30,,
29.44,0.29,,
30.03,0.28,,
30.43,0.28,,
30.82,0.28,,
31.85,0.27,,
32.56,0.27,,
33.11,0.25,,
33.90,0.24,,
34.80,0.24,,
35.16,0.23,,
35.67,0.25,,
35.91,0.28,,
36.18,0.24,,
36.77,0.24,,
37.88,0.22,,
38.39,0.21,,
39.18,0.21,,
39.38,0.27,,
39.38,0.30,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
